pitch_name,game_year,game_month,game_day,home_team,LAA_score,ENEMY_score,stand,on_3b,on_2b,on_1b,inning,pitch_number,outs_when_up,balls,strikes,sz_top,sz_bot,is_first_pitch_number,release_speed,release_pos_x,release_pos_y,release_pos_z,release_spin_rate,release_extension,plate_x,plate_z,events,description,zone,type,hc_x,hc_y
1,2022,4,14,1,2,0,1,0,1,1,2,5,1,2,2,3.26,1.48,0,90.8,-2.07,53.55,5.98,1367.0,6.9,-0.2,1.29,19.0,0.0,13.0,1.0,0.0,0.0
2,2022,4,14,1,2,0,1,0,1,1,2,6,1,2,2,3.23,1.62,0,99.6,-2.25,53.67,5.88,2223.0,6.8,-0.2,2.8,19.0,3.0,2.0,0.0,0.0,0.0
0,2022,4,14,1,2,0,1,0,1,1,2,7,1,3,2,3.35,1.56,0,89.9,-1.95,53.54,5.98,1308.0,7.0,0.09,1.36,19.0,0.0,14.0,1.0,0.0,0.0
2,2022,4,14,1,2,0,1,1,1,1,2,1,1,0,0,3.55,1.63,1,,,,,,,,,,,,,,
2,2022,4,14,1,2,0,1,1,1,1,2,2,1,0,1,3.55,1.63,0,79.9,-1.9,54.07,6.16,2570.0,6.4,0.14,2.39,19.0,9.0,5.0,0.0,0.0,0.0
2,2022,4,14,1,2,0,1,1,1,1,2,3,1,0,2,3.55,1.63,0,89.4,-1.95,53.76,6.02,1454.0,6.7,-0.29,1.68,19.0,9.0,7.0,0.0,0.0,0.0
0,2022,4,14,1,2,4,1,0,0,0,2,1,1,0,0,3.47,1.59,1,,,,,,,,,,,,,,
2,2022,4,14,1,2,4,1,0,0,0,2,2,1,0,1,3.47,1.59,0,84.5,-2.27,53.94,5.83,2384.0,6.6,0.04,0.89,19.0,9.0,14.0,0.0,0.0,0.0
1,2022,4,14,1,2,4,1,0,0,0,2,3,1,0,2,3.42,1.49,0,90.6,-2.46,53.8,5.77,2486.0,6.7,0.55,2.81,19.0,3.0,6.0,0.0,0.0,0.0
0,2022,4,14,1,2,4,1,0,0,0,2,4,1,1,2,3.47,1.59,0,98.5,-2.11,53.79,5.83,2355.0,6.7,0.95,2.64,19.0,0.0,12.0,1.0,0.0,0.0
0,2022,4,14,1,2,4,0,0,0,1,2,1,1,0,0,3.3,1.51,1,,,,,,,,,,,,,,
2,2022,4,14,1,2,4,0,0,0,1,2,2,1,1,0,3.31,1.61,0,85.5,-2.22,53.59,5.76,2416.0,6.9,0.39,3.41,19.0,0.0,3.0,1.0,0.0,0.0
1,2022,4,14,1,2,4,0,0,0,1,2,3,1,2,0,3.37,1.53,0,90.5,-2.1,53.54,5.76,2365.0,7.0,1.45,1.31,19.0,0.0,14.0,1.0,0.0,0.0
0,2022,4,14,1,2,4,0,0,0,1,2,4,1,2,1,3.37,1.53,0,96.9,-2.07,53.52,5.79,2179.0,7.0,0.38,2.24,19.0,9.0,6.0,0.0,0.0,0.0
2,2022,4,14,1,2,4,1,0,0,1,2,1,2,0,0,3.35,1.54,1,,,,,,,,,,,,,,
2,2022,4,14,1,2,4,1,0,0,1,2,2,2,0,1,3.31,1.54,0,78.2,-1.81,53.89,6.19,2467.0,6.6,-0.88,2.69,19.0,2.0,11.0,0.0,0.0,0.0
